update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
52,1117850,1117850,3130,130,1024,0.27842773437500046,5.136198043823242,0.12580522894859314,-0.005120012647239491,0.3835234083235264,0.3955067340284586,0.003880220754581387,0.02734375,0.9546128157769148,0.05,17,191,0,0.103515625,0.1845703125,0.142578125,0.1845703125,0.248046875,0.13671875
53,1118874,1118874,3132,132,1024,0.22623046875000047,4.66320276260376,0.02902868576347828,-0.0033305471297353506,0.353054016828537,0.41930169612169266,0.005293104031807161,0.04931640625,0.9348975274053103,0.05,11,135,0,0.1025390625,0.216796875,0.107421875,0.18359375,0.255859375,0.1337890625
54,1119898,1119898,3135,135,1024,0.23951171875000044,5.007280349731445,0.10276851803064346,-0.0045426900032907724,0.21504671033471823,0.4125995095819235,0.0038582193283218658,0.03857421875,0.9695492676782281,0.05,10,167,0,0.1103515625,0.18359375,0.123046875,0.1875,0.2587890625,0.13671875
55,1120922,1120922,3137,137,1024,0.23453125000000044,5.220604419708252,0.13259896636009216,-0.004054097575135529,0.2290187506005168,0.4179873652756214,0.005021069940994494,0.04638671875,0.9726601355273289,0.05,9,168,0,0.0947265625,0.201171875,0.1083984375,0.1865234375,0.271484375,0.1376953125
56,1121946,1121946,3140,140,1024,0.2425878906250004,5.184736728668213,0.00547218881547451,-0.002788347250316292,0.1964537352323532,0.4039429295808077,0.0033790564730225015,0.0166015625,0.9729302976284255,0.05,11,164,0,0.107421875,0.1796875,0.1328125,0.20703125,0.236328125,0.13671875
57,1122970,1122970,3142,142,1024,0.23775390625000042,5.183999061584473,-0.08779314160346985,-0.0034420383162796497,0.17340932693332434,0.38559122011065483,0.004929197464662138,0.031005859375,0.9659834638021572,0.05,12,112,0,0.0830078125,0.23046875,0.0947265625,0.2236328125,0.2314453125,0.13671875
58,1123994,1123994,3145,145,1024,0.24576171875000039,5.0031208992004395,0.1704610288143158,-0.0056817191070877016,0.3970882408320904,0.4002576991915703,0.007384414902844583,0.06201171875,0.9343025399448677,0.05,17,192,0,0.1025390625,0.2060546875,0.1123046875,0.2109375,0.2314453125,0.13671875
59,1125018,1125018,3147,147,1024,0.23638671875000047,5.636467456817627,0.04371199756860733,-0.0037712542107328773,0.24509592447429895,0.4225725717842579,0.0027517193630046677,0.053466796875,0.9521555334156708,0.05,4,93,0,0.0830078125,0.236328125,0.08203125,0.2314453125,0.2294921875,0.1376953125
60,1125827,1125827,3150,150,809,0.2541532756489497,4.7892866134643555,0.27377933263778687,-0.04026492277625948,0.47624184750020504,0.4015899673104286,0.0018945909141621087,0.018852419685572386,0.9569070355780255,0.05,14,202,0,0.1100123609394314,0.18170580964153277,0.1433868974042027,0.207663782447466,0.21878862793572312,0.138442521631644
61,1126851,1126851,3152,152,1024,0.2648046875000004,5.57247257232666,0.2845339775085449,-0.00502985343337059,0.542236540466547,0.3928046151995659,0.0030408219708988327,0.019287109375,0.9391651932180654,0.05,13,181,0,0.09765625,0.2138671875,0.1083984375,0.2216796875,0.220703125,0.1376953125
62,1127875,1127875,3155,155,1024,0.24834960937500045,5.837878227233887,-0.07336914539337158,-0.0031067566014826298,0.3001795168966055,0.38160921074450016,0.0022154320759000257,0.008056640625,0.963177881929234,0.05,10,130,0,0.078125,0.2236328125,0.0947265625,0.2236328125,0.2421875,0.1376953125
63,1128899,1128899,3157,157,1024,0.2782812500000004,5.985089302062988,-0.03541547432541847,-0.004250028636306524,0.31027562357485294,0.34308644756674767,0.0025702765319692844,0.019287109375,0.9602858257320838,0.05,18,187,0,0.095703125,0.2265625,0.119140625,0.2041015625,0.216796875,0.1376953125
64,1129923,1129923,3160,160,1024,0.2295996093750005,5.526954650878906,-0.30958127975463867,-0.0020131830242462456,0.15299843112006783,0.3535598609596491,-3.346683115523774e-05,0.0400390625,0.9700998244394569,0.05,4,74,0,0.0859375,0.2333984375,0.0859375,0.240234375,0.2119140625,0.142578125
