update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,kills,self_kills,deaths,action_up,action_right,action_down,action_left,action_wait,action_bomb
303,2823480,2823480,7940,940,1024,0.5191503906250006,17.625041961669922,-0.15919585525989532,0.0010715111275203526,5.576153337955475,0.3945198245346546,0.002200845137849683,0.0390625,0.8493937641496683,0.05,12,145,0,2,2,0.232421875,0.1865234375,0.2216796875,0.2138671875,0.021484375,0.1240234375
304,2824504,2824504,7944,944,1024,0.4943457031250005,16.001420974731445,-0.41608673334121704,-0.0011837049387395382,4.950465589761734,0.3429673295468092,0.0029118260790710337,0.020263671875,0.8898517552631632,0.05,12,179,0,2,2,0.19140625,0.24609375,0.1826171875,0.22265625,0.029296875,0.1279296875
305,2825528,2825528,7947,947,1024,0.48301757812500057,15.955921173095703,-0.02864234149456024,-0.003058925620280206,5.009529262781143,0.398715203627944,0.0038212934505281737,0.020751953125,0.8656091495565369,0.05,12,127,0,2,2,0.19140625,0.2158203125,0.2236328125,0.2158203125,0.0283203125,0.125
306,2826552,2826552,7949,949,1024,0.44214843750000066,15.367303848266602,0.4565902650356293,-8.427008287981153e-05,4.255284950137138,0.3267372399568558,0.0003806812528637238,0.010009765625,0.8841039212192403,0.05,15,148,0,1,1,0.2353515625,0.1796875,0.2412109375,0.1943359375,0.02734375,0.1220703125
307,2826575,2826575,7950,950,23,1.3573913043478263,22.139062881469727,-1.85738205909729,0.000835552817632923,11.40452790260315,0.5312496721744537,0.005414627798650429,0.0,0.5576638746484015,0.05,0,0,0,0,0,0.21739130434782608,0.21739130434782608,0.043478260869565216,0.391304347826087,0.0,0.13043478260869565
308,2827599,2827599,7953,953,1024,0.2566992187500004,10.836599349975586,-0.3067172169685364,-0.0008038170635700226,3.919606104493141,0.16761239059269428,-0.000909035064978525,0.011962890625,0.7932954492875157,0.05,12,138,1,1,1,0.2265625,0.197265625,0.234375,0.1884765625,0.0205078125,0.1328125
309,2828623,2828623,7956,956,1024,0.40010742187500054,13.786686897277832,0.0024442076683044434,-0.0009878171840682626,5.980958163738251,0.35505525581538677,0.0009328510714112781,0.004638671875,0.867769552072848,0.05,14,134,0,2,2,0.2705078125,0.1572265625,0.2744140625,0.1611328125,0.0224609375,0.1142578125
310,2829647,2829647,7959,959,1024,0.5113378906250006,16.106616973876953,0.2901724576950073,-0.0009699623333290219,4.975459724664688,0.38681113347411156,-0.0008549172162020113,0.024169921875,0.8761179868580343,0.05,12,126,0,1,2,0.2529296875,0.1875,0.2314453125,0.181640625,0.0224609375,0.1240234375
311,2830671,2830671,7962,962,1024,0.3783300781250005,14.133576393127441,0.10367978364229202,-0.0030529076466336846,3.3259130716323853,0.28075684793293476,-0.0009887227497529238,0.027099609375,0.9134709754560395,0.05,8,118,0,0,0,0.2431640625,0.1708984375,0.2548828125,0.18359375,0.01953125,0.1279296875
312,2831695,2831695,7965,965,1024,0.4906347656250005,15.476507186889648,0.031209439039230347,-0.0008821773226372898,5.905759796500206,0.39887760207057,0.0025444352268095827,0.0556640625,0.8694823271303647,0.05,12,196,0,2,2,0.236328125,0.2001953125,0.23046875,0.1875,0.0302734375,0.115234375
313,2832719,2832719,7967,967,1024,0.2364355468750004,9.994627952575684,-1.0944647789001465,0.0022819304140284657,3.070082053542137,0.15675761923193932,0.0031548597762594,0.019775390625,0.8547599914274264,0.05,8,101,1,0,0,0.2333984375,0.1884765625,0.2529296875,0.1728515625,0.01953125,0.1328125
314,2833743,2833743,7971,971,1024,0.33609375000000047,11.966313362121582,0.3425266742706299,-0.003689971403218806,4.95057986676693,0.2596155861392617,0.000495597464578168,0.032470703125,0.8651838930302055,0.05,14,147,0,1,1,0.216796875,0.212890625,0.24609375,0.1728515625,0.0244140625,0.126953125
315,2834767,2834767,7974,974,1024,0.31626953125000046,10.86911392211914,-0.7941874265670776,-0.00020681711612269282,5.762486755847931,0.24482290912419558,-0.0008098009384411853,0.005859375,0.8492081998786656,0.05,16,159,0,2,2,0.21484375,0.2099609375,0.224609375,0.2001953125,0.021484375,0.12890625
316,2834791,2834791,7975,975,24,0.7837500000000007,12.220881462097168,-0.6815917491912842,0.0003405722466900407,4.6323912143707275,0.06956161931157112,0.0004948340429109521,0.0,0.5168560984014552,0.05,0,0,0,0,0,0.125,0.375,0.125,0.25,0.0,0.125
317,2835815,2835815,7977,977,1024,0.3425878906250005,12.422558784484863,0.6222271919250488,-0.00045414111809805036,5.87777379155159,0.26262184977531433,0.00014102471413934836,0.00341796875,0.8724976206658615,0.05,12,128,0,1,1,0.2080078125,0.2373046875,0.205078125,0.2021484375,0.0205078125,0.126953125
318,2836839,2836839,7980,980,1024,0.5194921875000007,16.476655960083008,0.9441871643066406,-0.001494246651418507,4.370421230792999,0.39781652949750423,0.004494352159781556,0.06787109375,0.9012152558330346,0.05,17,162,0,1,1,0.2421875,0.22265625,0.203125,0.1904296875,0.01953125,0.1220703125
