update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
73,70672,70672,264,264,1024,0.23775390625000006,-0.125363290309906,0.022522449493408203,-0.0007965532713569701,0.4519670754671097,0.29186552576720715,0.0005041690019425005,0.01708984375,0.5307082436955994,249,0,0,0.357421875,0.1171875,0.3662109375,0.130859375,0.025390625,0.0029296875
74,71696,71696,267,267,1024,0.12486328125000003,-0.3410787284374237,0.08598019182682037,-0.0023752778070047498,0.3738104682415724,0.3992369417101145,-0.00044413011346478015,0.052978515625,0.5110670749818651,135,0,0,0.41796875,0.07421875,0.3994140625,0.0966796875,0.009765625,0.001953125
75,72720,72720,271,271,1024,0.18536132812500006,-0.010645810514688492,0.1692214012145996,-0.0015609299298375845,0.4049213286489248,0.33130596205592155,0.000270765638560988,0.032470703125,0.549688166759658,195,0,0,0.3818359375,0.08203125,0.39453125,0.1220703125,0.0146484375,0.0048828125
76,73208,73208,275,275,488,0.3163319672131148,0.14410308003425598,-0.2240171581506729,-0.00048621383029967546,0.5810501724481583,0.2772240787744522,-0.0010009391844505444,0.0032327586668543518,0.5390184253446995,155,0,0,0.26844262295081966,0.18442622950819673,0.3176229508196721,0.21106557377049182,0.014344262295081968,0.004098360655737705
77,74232,74232,279,279,1024,0.21983398437500007,-0.15284331142902374,0.08393830806016922,-0.0005327948601916432,0.4410440418869257,0.3283000811934471,0.0014615714899264276,0.02490234375,0.5823654033818411,231,0,0,0.3662109375,0.115234375,0.3466796875,0.1533203125,0.0146484375,0.00390625
78,75256,75256,283,283,1024,0.19063476562500004,-0.04185603931546211,0.17071399092674255,-0.0008732982678338885,0.3764822445809841,0.23042170610278845,-8.873664774000645e-05,0.001953125,0.5761051464046487,201,0,0,0.3779296875,0.12109375,0.3681640625,0.109375,0.0185546875,0.0048828125
79,76280,76280,288,288,1024,0.24288085937500004,0.10599387437105179,-0.05336957052350044,-0.0014937416999600828,0.38337985239923,0.22217298485338688,0.002480304268829059,0.009033203125,0.5131070361379695,254,0,0,0.3447265625,0.1494140625,0.345703125,0.1435546875,0.0146484375,0.001953125
80,77304,77304,293,293,1024,0.23863281250000007,0.1582854986190796,0.05325500667095184,-0.0011592286173254251,0.4380631297826767,0.26112248562276363,0.0037769866758026183,0.04248046875,0.5176241816312777,249,0,0,0.3779296875,0.126953125,0.341796875,0.1376953125,0.01171875,0.00390625
81,78328,78328,297,297,1024,0.15625976562500005,-0.13710978627204895,-0.0005210787057876587,-0.0004968980210833251,0.3256497550755739,0.28373987041413784,0.00014611880760639906,0.00146484375,0.5489631628718603,167,0,0,0.4111328125,0.087890625,0.3896484375,0.0966796875,0.0146484375,0.0
82,79131,79131,300,300,803,0.15674968866749692,0.0272276122123003,0.0737438052892685,0.0067928183125332,0.3527434943243861,0.15774705447256565,0.00020410863999131834,0.002518136170692742,0.5091182033002867,131,0,0,0.39352428393524286,0.09464508094645081,0.39103362391033625,0.1095890410958904,0.009962640099626401,0.0012453300124533001
